OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Lifespan,Adaptability,Size
Euthanasia,Suffering,Cat,Intact Female,28,Siamese,Blue Point,5475,5,Medium
Euthanasia,Suffering,Dog,Neutered Male,1460,Chihuahua Shorthair,White/Brown,6570,5,Small
Adoption,Unknown,Cat,Neutered Male,2920,Domestic Medium Hair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,90,Domestic Shorthair,Calico,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,60,Australian Cattle Dog,Brown/White,5475,3,Medium
Adoption,Unknown,Cat,Spayed Female,120,Domestic Shorthair,Tortie,6205,5,Medium
Euthanasia,Aggressive,Dog,Intact Male,730,Labrador Retriever,Tan/Black,4745,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,2190,Dachshund,Brown,5110,5,Small
Transfer,Partner,Dog,Spayed Female,30,Boxer,Brown Brindle/White,4380,4,Medium
Transfer,Partner,Dog,Spayed Female,365,Labrador Retriever,Tan/White,4745,5,Medium
Transfer,Partner,Dog,Neutered Male,1460,Shih Tzu,Apricot/White,5110,5,Small
Adoption,Foster,Cat,Neutered Male,60,Domestic Medium Hair,Blue/White,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,730,Pit Bull,Red,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,60,Australian Cattle Dog,Red Merle/Black,5475,3,Medium
Adoption,Unknown,Cat,Neutered Male,180,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,2920,Domestic Shorthair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Cat,Neutered Male,1095,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Chihuahua Shorthair,Brown/White,6570,5,Small
Transfer,Partner,Dog,Intact Male,60,Australian Cattle Dog,White/Brown,5475,3,Medium
Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair,Tortie,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,1460,German Shepherd,Brown,4380,5,Medium to Large
Transfer,Partner,Cat,Neutered Male,1825,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Pointer,Chocolate/White,5475,5,Medium
Transfer,SCRP,Cat,Intact Female,180,Domestic Medium Hair,Calico,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,730,Miniature Poodle,Black/Gray,4745,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,365,Collie Smooth,Sable,5475,4,Large
Transfer,SCRP,Cat,Intact Male,180,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Cat,Intact Female,60,Domestic Shorthair,Calico,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,180,Cocker Spaniel,Sable,5110,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,2920,Chihuahua Shorthair,Tricolor,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,180,Labrador Retriever,Buff,4745,5,Medium
Transfer,Partner,Cat,Intact Male,90,Siamese,Seal Point,5475,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Rottweiler,Black/Tan,365,3,Medium to Large
Adoption,Foster,Dog,Spayed Female,365,Chihuahua Shorthair,Brown/Black,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,60,Boxer,Tricolor,4380,4,Medium
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,Blue Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Chihuahua Shorthair,Tan,6570,5,Small
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Cat,Neutered Male,270,Domestic Shorthair,White/Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,1460,Rat Terrier,Black/White,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,120,German Shepherd,Red/White,4380,5,Medium to Large
Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair,White,6205,5,Medium
Transfer,Partner,Dog,Intact Male,2190,Dachshund,Blue Merle/White,5110,5,Small
Adoption,Foster,Dog,Spayed Female,60,Border Collie,Black/White,5475,5,Medium
Transfer,SCRP,Cat,Intact Female,240,Domestic Shorthair,Blue Tabby,6205,5,Medium
Transfer,Partner,Cat,Intact Male,30,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,SCRP,Cat,Intact Female,120,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Intact Female,60,Domestic Shorthair,Torbie,6205,5,Medium
Return_to_owner,Unknown,Dog,Intact Female,730,Pit Bull,Fawn,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,120,Collie Smooth,Tricolor,5475,4,Large
Transfer,SCRP,Cat,Intact Male,365,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,90,Siamese,Lynx Point/White,5475,5,Medium
Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,120,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,1825,Plott Hound,Brown Brindle,5110,3,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,Pit Bull,Fawn/White,5475,3,Large
Transfer,Partner,Cat,Intact Female,14,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,Chihuahua Shorthair,Tan/White,6570,5,Small
Transfer,Partner,Dog,Neutered Male,730,Pointer,Black/White,5475,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,Anatol Shepherd,White,5110,2,Large
Transfer,Partner,Cat,Intact Male,28,Domestic Shorthair,Blue,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,365,Anatol Shepherd,Fawn/Black,5110,2,Large
Adoption,Unknown,Cat,Spayed Female,210,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Foster,Dog,Spayed Female,730,Pit Bull,Brown/White,5475,3,Large
Transfer,Partner,Dog,Spayed Female,2555,Great Dane,Black/White,2920,3,Giant
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Euthanasia,Suffering,Cat,Neutered Male,365,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Dog,Intact Female,1095,Australian Cattle Dog,Tricolor,5475,3,Medium
Transfer,Partner,Cat,Spayed Female,90,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Chinese Sharpei,Red Tick/White,3650,3,Medium
Return_to_owner,Unknown,Dog,Intact Female,365,Labrador Retriever,Yellow,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Flat Coat Retriever,Black,4745,5,Medium to Large
Transfer,Partner,Dog,Neutered Male,1095,Labrador Retriever,Yellow,4745,5,Medium
Adoption,Unknown,Cat,Spayed Female,30,Domestic Shorthair,Calico,6205,5,Medium
Transfer,Partner,Dog,Unknown,42,Labrador Retriever,White,4745,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,270,Rat Terrier,Tricolor,6570,5,Small
Adoption,Unknown,Cat,Spayed Female,60,Domestic Longhair,Black/White,6205,5,Medium
Euthanasia,Aggressive,Dog,Neutered Male,730,Akita,Tan/White,4380,5,Large
Return_to_owner,Unknown,Dog,Neutered Male,2555,American Bulldog,White,5475,3,Large
Transfer,Partner,Dog,Neutered Male,120,Labrador Retriever,Blue,4745,5,Medium
Adoption,Unknown,Cat,Neutered Male,365,Domestic Shorthair,Orange Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,1825,Chihuahua Shorthair,Tan,6570,5,Small
Adoption,Unknown,Dog,Spayed Female,730,Pointer,Chocolate/White,5475,5,Medium
Adoption,Unknown,Dog,Neutered Male,1825,Chihuahua Shorthair,Tan/White,6570,5,Small
Adoption,Unknown,Cat,Neutered Male,150,Siamese,Flame Point,5475,5,Medium
Adoption,Unknown,Cat,Neutered Male,365,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Dog,Intact Male,365,Labrador Retriever,Buff/Tan,4745,5,Medium
Transfer,Partner,Cat,Neutered Male,120,Domestic Medium Hair,Black,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,730,Chihuahua Shorthair,White/Tan,6570,5,Small
Euthanasia,Aggressive,Dog,Intact Male,1095,Rottweiler,Black/Tan,365,3,Medium to Large
Transfer,Partner,Cat,Intact Male,28,Domestic Shorthair,Blue,6205,5,Medium
Transfer,Partner,Cat,Unknown,21,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair,Tortie,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,730,Labrador Retriever,Black,4745,5,Medium
Adoption,Unknown,Dog,Neutered Male,365,Boxer,Brown/White,4380,4,Medium
Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair,Blue Tabby,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Jack Russell Terrier,White/Tan,5840,5,Small
Return_to_owner,Unknown,Dog,Intact Male,270,Pit Bull,Red/White,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,1095,Labrador Retriever,Brown,4745,5,Medium
Euthanasia,Suffering,Cat,Intact Female,30,Domestic Shorthair,Tortie,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Bernese Mountain Dog,Tricolor,3285,3,Large
Transfer,SCRP,Cat,Neutered Male,730,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,120,Plott Hound,Brown Brindle/Red Tick,5110,3,Medium
Return_to_owner,Unknown,Dog,Intact Male,1095,English Bulldog,Brown Brindle,4380,3,Small
Transfer,Partner,Dog,Neutered Male,365,Pit Bull,Brown/White,5475,3,Large
Transfer,Partner,Cat,Intact Male,30,Domestic Medium Hair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,White/Brown,6570,5,Small
Transfer,Partner,Dog,Neutered Male,60,Labrador Retriever,Black/Tan,4745,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,3285,Chihuahua Shorthair,Brown,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,730,Pit Bull,Brown,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,180,Pointer,White/Blue,5475,5,Medium
Adoption,Unknown,Dog,Neutered Male,90,Chihuahua Longhair,Tricolor,6570,5,Small
Adoption,Foster,Dog,Neutered Male,30,Labrador Retriever,Chocolate/White,4745,5,Medium
Transfer,Partner,Dog,Intact Female,365,Yorkshire Terrier,Black/Tan,5840,5,Small
Adoption,Unknown,Dog,Spayed Female,730,Pit Bull,Blue/White,5475,3,Large
Return_to_owner,Unknown,Dog,Spayed Female,1095,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Unknown,Cat,Intact Male,60,Siamese,Lilac Point,5475,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,American Staffordshire Terrier,Blue/White,5110,3,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Dachshund,Brown Brindle/White,5110,5,Small
Adoption,Unknown,Dog,Neutered Male,60,Dachshund Wirehair,Brown/Black,5110,5,Small
Euthanasia,Suffering,Cat,Spayed Female,365,Domestic Longhair,Tortie,6205,5,Medium
Transfer,SCRP,Cat,Neutered Male,730,Domestic Shorthair,Blue,6205,5,Medium
Euthanasia,Suffering,Dog,Intact Female,240,Labrador Retriever,Black,4745,5,Medium
Euthanasia,Suffering,Cat,Intact Female,365,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Medium Hair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,90,Chihuahua Shorthair,Buff/White,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,365,Blue Lacy,Blue/White,5475,4,Medium to Large
Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair,Tortie,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Blue Tabby,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,90,Siamese,Lilac Point,5475,5,Medium
Adoption,Unknown,Dog,Spayed Female,2555,Miniature Poodle,White,4745,5,Small
Adoption,Unknown,Dog,Spayed Female,730,Dachshund,Brown,5110,5,Small
Return_to_owner,Unknown,Dog,Intact Female,120,Boxer,Brown Brindle/White,4380,4,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,90,Domestic Shorthair,White/Orange Tabby,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,730,Exotic Shorthair,White/Orange Tabby,5475,5,Medium
Adoption,Unknown,Cat,Spayed Female,180,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Cat,Intact Female,28,Domestic Shorthair,Torbie,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,90,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,150,Siamese,Tortie Point,5475,5,Medium
Transfer,Partner,Cat,Neutered Male,60,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Euthanasia,Aggressive,Dog,Spayed Female,365,Pit Bull,Black/White,5475,3,Large
Transfer,Partner,Dog,Intact Male,30,Australian Cattle Dog,Brown/Black,5475,3,Medium
Return_to_owner,Unknown,Dog,Spayed Female,1095,Chihuahua Shorthair,Black/Tan,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,1095,Labrador Retriever,Black,4745,5,Medium
Return_to_owner,Unknown,Dog,Intact Male,2190,Basset Hound,Tricolor,5475,5,Medium
Adoption,Unknown,Dog,Intact Male,240,Pit Bull,White/Blue,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,120,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1095,Cocker Spaniel,Yellow,5110,5,Medium
Return_to_owner,Unknown,Dog,Intact Male,28,Chihuahua Shorthair,Tricolor,6570,5,Small
Return_to_owner,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Torbie,6205,5,Medium
Transfer,Partner,Dog,Intact Male,60,Australian Cattle Dog,Buff/White,5475,3,Medium
Euthanasia,Suffering,Dog,Intact Male,365,Dachshund,Black,5110,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,1825,Cocker Spaniel,Black,5110,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2555,Blue Lacy,Tricolor,5475,4,Medium to Large
Adoption,Foster,Cat,Spayed Female,60,Domestic Longhair,Blue,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1095,Pit Bull,Black/White,5475,3,Large
Adoption,Unknown,Cat,Intact Female,30,Domestic Shorthair,Torbie,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,2190,Miniature Poodle,Buff,4745,5,Small
Transfer,Partner,Dog,Intact Female,60,Labrador Retriever,Chocolate/White,4745,5,Medium
Euthanasia,Rabies Risk,Dog,Neutered Male,730,Pit Bull,White/Brown,5475,3,Large
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,Black and Tan Coonhound,Black/Tan,4380,5,Large
Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Orange Tabby,6205,5,Medium
Euthanasia,Medical,Cat,Neutered Male,2920,Siamese,Lynx Point,5475,5,Medium
Transfer,Partner,Dog,Unknown,7,Labrador Retriever,White,4745,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,365,Chihuahua Shorthair,White,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,365,Pit Bull,Chocolate/White,5475,3,Large
Return_to_owner,Unknown,Dog,Spayed Female,365,Norfolk Terrier,Cream,5475,5,Small
Transfer,Partner,Cat,Intact Female,14,Domestic Shorthair,Blue Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Border Collie,Black/White,5475,5,Medium
Transfer,Partner,Dog,Neutered Male,730,German Shepherd,Black/Tan,4380,5,Medium to Large
Adoption,Unknown,Dog,Neutered Male,730,Chihuahua Shorthair,Black,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,1095,Chihuahua Shorthair,Brown,6570,5,Small
Transfer,Partner,Cat,Unknown,35,Domestic Shorthair,Black,6205,5,Medium
Euthanasia,Suffering,Cat,Intact Male,21,Domestic Shorthair,White/Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,Jack Russell Terrier,Tricolor,5840,5,Small
Return_to_owner,Unknown,Cat,Spayed Female,2555,Domestic Shorthair,Brown Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,2555,Pit Bull,Red/White,5475,3,Large
Return_to_owner,Unknown,Dog,Intact Male,1095,Siberian Husky,Black/White,5110,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,Scottish Terrier,Black,4745,3,Small
Return_to_owner,Unknown,Cat,Neutered Male,730,Domestic Medium Hair,Blue Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Labrador Retriever,Red,4745,5,Medium
Adoption,Unknown,Cat,Spayed Female,150,Domestic Shorthair,Calico,6205,5,Medium
Transfer,SCRP,Cat,Unknown,240,Domestic Shorthair,Black,6205,5,Medium
Adoption,Foster,Cat,Intact Male,90,Domestic Longhair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,365,Chihuahua Shorthair,Tan,6570,5,Small
Adoption,Unknown,Cat,Spayed Female,120,Domestic Medium Hair,Tortie/White,6205,5,Medium
Transfer,SCRP,Cat,Intact Male,365,Domestic Shorthair,Cream Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,365,Pit Bull,Tan/White,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,240,Labrador Retriever,Black,4745,5,Medium
Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair,Calico,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1825,Chihuahua Longhair,Cream,6570,5,Small
Transfer,Partner,Dog,Intact Female,28,Chihuahua Shorthair,White,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,1095,Labrador Retriever,Yellow,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,1095,Pit Bull,Black/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,60,Border Collie,Tricolor,5475,5,Medium
Transfer,Partner,Dog,Intact Male,90,Pit Bull,White/Brown,5475,3,Large
Return_to_owner,Unknown,Dog,Intact Female,365,Yorkshire Terrier,Black/Tricolor,5840,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,1825,American Bulldog,Tan,5475,3,Large
Transfer,Partner,Cat,Intact Male,28,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,2555,Boxer,Brown/White,4380,4,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Miniature Poodle,Apricot,4745,5,Small
Adoption,Unknown,Cat,Intact Male,90,Domestic Shorthair,Orange Tabby,6205,5,Medium
Return_to_owner,Unknown,Cat,Neutered Male,1460,Domestic Shorthair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Intact Female,1095,Jack Russell Terrier,White/Brown,5840,5,Small
Adoption,Foster,Dog,Neutered Male,30,Chihuahua Shorthair,Brown/Black,6570,5,Small
Transfer,Partner,Cat,Intact Female,14,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Cat,Unknown,42,Domestic Shorthair,Brown Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,German Shepherd,Tan/Black,4380,5,Medium to Large
Transfer,Partner,Cat,Intact Female,28,Domestic Shorthair,Calico,6205,5,Medium
Return_to_owner,Unknown,Cat,Spayed Female,2920,Russian Blue,Blue,5840,3,Medium
Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair,Tortie/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,365,Doberman Pinsch,Black/Tan,4380,5,Medium
Return_to_owner,Unknown,Cat,Neutered Male,120,Devon Rex,Cream,5475,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1095,Treeing Walker Coonhound,Tricolor,4745,3,Medium
Transfer,Partner,Dog,Intact Male,730,Australian Cattle Dog,Black,5475,3,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2920,Australian Cattle Dog,Sable,5475,3,Medium
Adoption,Unknown,Dog,Spayed Female,1095,Yorkshire Terrier,White/Gray,5840,5,Small
Adoption,Unknown,Dog,Neutered Male,270,Rhod Ridgeback,Red/Tan,4380,4,Large
Adoption,Unknown,Cat,Neutered Male,90,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Euthanasia,Suffering,Dog,Unknown,3285,Australian Cattle Dog,Tan/Brown,5475,3,Medium
Adoption,Unknown,Dog,Neutered Male,365,Labrador Retriever,Brown Brindle,4745,5,Medium
Adoption,Unknown,Cat,Spayed Female,120,Domestic Shorthair,Orange Tabby,6205,5,Medium
Euthanasia,Suffering,Cat,Intact Male,1460,Domestic Shorthair,Orange Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,Chihuahua Shorthair,White/Tan,6570,5,Small
Transfer,Partner,Dog,Intact Male,14,Pit Bull,Brown/White,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Cream Tabby,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,365,Domestic Medium Hair,Orange Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Intact Female,60,Domestic Shorthair,Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1095,Chihuahua Shorthair,White/Tricolor,6570,5,Small
Transfer,Partner,Cat,Neutered Male,2190,Domestic Shorthair,White/Cream Tabby,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,2555,German Shepherd,Brown/Black,4380,5,Medium to Large
Adoption,Foster,Cat,Spayed Female,60,Domestic Shorthair,Calico,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,120,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,1825,Labrador Retriever,Brown,4745,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,2190,Chihuahua Shorthair,Black/White,6570,5,Small
Euthanasia,Suffering,Cat,Neutered Male,2920,Domestic Medium Hair,Black/White,6205,5,Medium
Euthanasia,Suffering,Dog,Neutered Male,730,Labrador Retriever,Tan/White,4745,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Snowshoe,Lynx Point,6935,5,Medium
Adoption,Unknown,Dog,Spayed Female,120,Chinese Sharpei,Red,3650,3,Medium
Euthanasia,Suffering,Cat,Unknown,365,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,60,Dachshund,Black,5110,5,Small
Adoption,Unknown,Cat,Neutered Male,1825,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,60,Domestic Shorthair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Cat,Neutered Male,1095,Domestic Shorthair,White/Black,6205,5,Medium
